k,attack_type,attack_id,truth_count,precision,recall,f1,jaccard
100,Procedure,G0091,143,0.3,0.2097902097902098,0.24691358024691354,0.14084507042253522
150,Procedure,G0091,143,0.3,0.3146853146853147,0.30716723549488056,0.1814516129032258
200,Procedure,G0091,143,0.3,0.4195804195804196,0.34985422740524774,0.21201413427561838
10,Procedure,S0098,56,0.0,0.0,0.0,0.0
20,Procedure,S0098,56,0.0,0.0,0.0,0.0
30,Procedure,S0098,56,0.03333333333333333,0.017857142857142856,0.023255813953488372,0.011764705882352941
40,Procedure,S0098,56,0.025,0.017857142857142856,0.020833333333333332,0.010526315789473684
50,Procedure,S0098,56,0.06,0.05357142857142857,0.05660377358490565,0.02912621359223301
100,Procedure,S0098,56,0.07,0.125,0.08974358974358974,0.04697986577181208
150,Procedure,S0098,56,0.07333333333333333,0.19642857142857142,0.10679611650485436,0.05641025641025641
200,Procedure,S0098,56,0.1,0.35714285714285715,0.15625,0.0847457627118644
10,Procedure,S1018,236,0.6,0.025423728813559324,0.04878048780487805,0.025
20,Procedure,S1018,236,0.5,0.0423728813559322,0.078125,0.04065040650406504
30,Procedure,S1018,236,0.4666666666666667,0.059322033898305086,0.10526315789473685,0.05555555555555555
40,Procedure,S1018,236,0.45,0.07627118644067797,0.13043478260869565,0.06976744186046512
50,Procedure,S1018,236,0.48,0.1016949152542373,0.16783216783216787,0.0916030534351145
100,Procedure,S1018,236,0.36,0.15254237288135594,0.21428571428571427,0.12
150,Procedure,S1018,236,0.38666666666666666,0.2457627118644068,0.3005181347150259,0.17682926829268292
200,Procedure,S1018,236,0.36,0.3050847457627119,0.3302752293577982,0.1978021978021978
10,Technique,T1552.006,1,0.0,0.0,0.0,0.0
20,Technique,T1552.006,1,0.0,0.0,0.0,0.0
30,Technique,T1552.006,1,0.0,0.0,0.0,0.0
40,Technique,T1552.006,1,0.0,0.0,0.0,0.0
50,Technique,T1552.006,1,0.0,0.0,0.0,0.0
100,Technique,T1552.006,1,0.0,0.0,0.0,0.0
150,Technique,T1552.006,1,0.0,0.0,0.0,0.0
200,Technique,T1552.006,1,0.0,0.0,0.0,0.0
10,Procedure,S0484,180,0.3,0.016666666666666666,0.031578947368421054,0.016042780748663103
20,Procedure,S0484,180,0.3,0.03333333333333333,0.060000000000000005,0.030927835051546393
30,Procedure,S0484,180,0.3,0.05,0.08571428571428572,0.04477611940298507
40,Procedure,S0484,180,0.25,0.05555555555555555,0.0909090909090909,0.047619047619047616
50,Procedure,S0484,180,0.28,0.07777777777777778,0.12173913043478261,0.06481481481481481
100,Procedure,S0484,180,0.3,0.16666666666666666,0.21428571428571427,0.12
150,Procedure,S0484,180,0.31333333333333335,0.2611111111111111,0.28484848484848485,0.16607773851590105
200,Procedure,S0484,180,0.305,0.3388888888888889,0.3210526315789473,0.19122257053291536
10,Procedure,S0278,22,0.1,0.045454545454545456,0.06250000000000001,0.03225806451612903
20,Procedure,S0278,22,0.1,0.09090909090909091,0.09523809523809525,0.05
30,Procedure,S0278,22,0.06666666666666667,0.09090909090909091,0.07692307692307691,0.04
40,Procedure,S0278,22,0.075,0.13636363636363635,0.09677419354838708,0.05084745762711865
50,Procedure,S0278,22,0.06,0.13636363636363635,0.08333333333333333,0.043478260869565216
100,Procedure,S0278,22,0.06,0.2727272727272727,0.09836065573770492,0.05172413793103448
150,Procedure,S0278,22,0.06,0.4090909090909091,0.10465116279069768,0.05521472392638037
200,Procedure,S0278,22,0.055,0.5,0.09909909909909909,0.052132701421800945
10,CAPEC,25,27,0.7,0.25925925925925924,0.37837837837837834,0.23333333333333334
20,CAPEC,25,27,0.55,0.4074074074074074,0.46808510638297873,0.3055555555555556
30,CAPEC,25,27,0.5,0.5555555555555556,0.5263157894736842,0.35714285714285715
40,CAPEC,25,27,0.425,0.6296296296296297,0.5074626865671642,0.34
50,CAPEC,25,27,0.38,0.7037037037037037,0.49350649350649356,0.3275862068965517
100,CAPEC,25,27,0.22,0.8148148148148148,0.3464566929133858,0.20952380952380953
150,CAPEC,25,27,0.16666666666666666,0.9259259259259259,0.2824858757062147,0.16447368421052633
200,CAPEC,25,27,0.125,0.9259259259259259,0.2202643171806167,0.12376237623762376
10,Technique,T1027.009,63,0.1,0.015873015873015872,0.0273972602739726,0.013888888888888888
20,Technique,T1027.009,63,0.15,0.047619047619047616,0.07228915662650602,0.0375
30,Technique,T1027.009,63,0.2,0.09523809523809523,0.12903225806451613,0.06896551724137931
40,Technique,T1027.009,63,0.25,0.15873015873015872,0.1941747572815534,0.10752688172043011
50,Technique,T1027.009,63,0.24,0.19047619047619047,0.21238938053097342,0.1188118811881188
100,Technique,T1027.009,63,0.21,0.3333333333333333,0.2576687116564417,0.14788732394366197
150,Technique,T1027.009,63,0.17333333333333334,0.4126984126984127,0.24413145539906103,0.13903743315508021
200,Technique,T1027.009,63,0.165,0.5238095238095238,0.2509505703422053,0.14347826086956522
10,Procedure,S1033,90,0.2,0.022222222222222223,0.039999999999999994,0.02040816326530612
20,Procedure,S1033,90,0.2,0.044444444444444446,0.07272727272727272,0.03773584905660377
30,Procedure,S1033,90,0.23333333333333334,0.07777777777777778,0.11666666666666667,0.061946902654867256
40,Procedure,S1033,90,0.225,0.1,0.13846153846153847,0.0743801652892562
50,Procedure,S1033,90,0.2,0.1111111111111111,0.14285714285714285,0.07692307692307693
100,Procedure,S1033,90,0.17,0.18888888888888888,0.1789473684210526,0.09826589595375723
150,Procedure,S1033,90,0.16,0.26666666666666666,0.2,0.1111111111111111
200,Procedure,S1033,90,0.135,0.3,0.18620689655172415,0.10266159695817491
10,Technique,T1001,1,0.0,0.0,0.0,0.0
20,Technique,T1001,1,0.0,0.0,0.0,0.0
30,Technique,T1001,1,0.0,0.0,0.0,0.0
40,Technique,T1001,1,0.0,0.0,0.0,0.0
50,Technique,T1001,1,0.0,0.0,0.0,0.0
100,Technique,T1001,1,0.0,0.0,0.0,0.0
150,Technique,T1001,1,0.0,0.0,0.0,0.0
200,Technique,T1001,1,0.0,0.0,0.0,0.0
10,Procedure,S0575,186,0.2,0.010752688172043012,0.020408163265306128,0.010309278350515464
20,Procedure,S0575,186,0.35,0.03763440860215054,0.06796116504854369,0.035175879396984924
30,Procedure,S0575,186,0.3333333333333333,0.053763440860215055,0.09259259259259259,0.04854368932038835
40,Procedure,S0575,186,0.3,0.06451612903225806,0.10619469026548671,0.056074766355140186
50,Procedure,S0575,186,0.24,0.06451612903225806,0.10169491525423728,0.05357142857142857
100,Procedure,S0575,186,0.27,0.14516129032258066,0.18881118881118883,0.10424710424710425
150,Procedure,S0575,186,0.2866666666666667,0.23118279569892472,0.255952380952381,0.14675767918088736
200,Procedure,S0575,186,0.285,0.3064516129032258,0.29533678756476683,0.17325227963525835
